keyword,category,intent,difficulty,season,money,note
고용보험 가입이력 조회,생활정보,정보,중,연중,애드센스,실업급여 내부링크
소득금액증명원 발급,생활정보,정보,중,5월,애드센스,대출 서류 연계
납세증명서 인터넷발급,생활정보,정보,하,연중,애드센스,홈택스 스샷
지방세 납세증명서 발급,생활정보,정보,하,연중,애드센스,위택스 안내
전입세대열람 신청,생활정보,정보,중,연중,애드센스,전세사기 예방 연계
자동차 검사 과태료,생활정보,정보,하,연중,애드센스,금액표
쓰레기 무단투기 신고,생활정보,정보,하,연중,애드센스,포상금 언급
대형폐기물 배출 방법,생활정보,정보,하,연중,애드센스,지역별 롱테일
전기차 보조금 신청,정책지원금,정보,상,연중,애드센스,지자체별 파생
청년내일저축계좌 조건,정책지원금,정보,중,연중,애드센스,신청기간 주의
디딤돌대출 자격,정책지원금,정보,상,연중,애드센스,CPC 높음
버팀목전세자금대출 조건,정책지원금,정보,상,연중,애드센스,YMYL 출처 필수
출산지원금 지자체별,정책지원금,정보,중,연중,애드센스,지역 롱테일 대량 생산
아동수당 신청방법,정책지원금,정보,하,연중,애드센스,연령 기준 표
첫만남이용권 사용처,정책지원금,정보,하,연중,애드센스,사용처 목록화
평생교육이용권 신청,정책지원금,정보,중,연중,애드센스,경쟁 낮음
문화누리카드 잔액조회,정책지원금,정보,하,연중,애드센스,단순 검색 다수
농식품바우처 대상,정책지원금,정보,중,연중,애드센스,신규 제도
난방비 지원 신청,정책지원금,정보,중,11~2월,애드센스,겨울 폭발
긴급복지지원제도 조건,정책지원금,정보,중,연중,애드센스,복지로 출처
국민취업지원제도 신청,정책지원금,정보,중,연중,애드센스,유형별 구분
청년월세 한시 특별지원,정책지원금,정보,중,연중,애드센스,기간 한정 주의
연말정산 의료비 공제,세금환급,정보,중,1월,애드센스,항목별 분할
연말정산 교육비 공제,세금환급,정보,중,1월,애드센스,항목별 분할
연말정산 기부금 공제,세금환급,정보,중,1월,애드센스,항목별 분할
연말정산 신용카드 공제,세금환급,정보,상,1월,애드센스,계산 예시 필수
경정청구 방법,세금환급,정보,중,연중,애드센스,놓친 공제 환급
부가가치세 신고기간,세금환급,정보,중,1월/7월,애드센스,사업자 타깃
사업자등록 방법,세금환급,정보,중,연중,애드센스,프리랜서 유입
간이과세자 기준,세금환급,정보,중,연중,애드센스,비교표
원천징수영수증 발급,세금환급,정보,하,연중,애드센스,홈택스 스샷
자동차세 환급 신청,세금환급,정보,중,연중,애드센스,중고차 매도자
취득세 감면 대상,세금환급,정보,상,연중,애드센스,생애최초 연계
